text,label
.... ведь одна из этих дорог ведёт в ваше сердечко.,neutral
"…лучше в ВК, я редко захожу…",neutral
"""- Мама, купи Seti! - У нас есть Сети дома. Сети дома:""",neutral
"""— Знаешь, откуда эти шрамы?©""",neutral
""""""" Kinfire — к сожалению, сдвигается на февраль."""" - Очень плохо, спасибо.",negative
"""""""Когда тебя с каждым днем после прошлого вторника все больше раздражает желтый цвет"""" 😆 (без наезда, просто делюсь 😉)""",neutral
"""[club15918043 @gagagames] А вы сами предзаказом довольны? Тираж хоть и небольшой, но почти все допы раскупили и баз большую часть Есть вероятность в ближайший год-два получить остальной контент или в любом случае в долгий ящик?""э",negative
"""[club15918043 @gagagames] А вы сами предзаказом довольны? Тираж хоть и небольшой, но почти все допы раскупили и баз большую часть. Есть вероятность в ближайший год-два получить остальной контент или в любом случае в долгий ящик?""",neutral
"""[club15918043 GaGa.ru – настольные игры] https://www.kickstarter.com/projects/level99games/compania-en Линейка анимешных евросов от LVL99 будет?""",neutral
"""[club15918043 GaGa.ru – настольные игры] А какие сценарии входят во 2 и 3 дополнения? А то на 2-3 игрока не цепляет)""",neutral
"""[club15918043 GaGa.ru – настольные игры] А когда планируется отправка Unmatched: Witcher?""",neutral
"""[club15918043 GaGa.ru – настольные игры] А можете пожалуйста добавить фотографии миниатюр? А то с появлением стенди даже не знаю что брать.""",neutral
"""[club15918043 GaGa.ru – настольные игры] А что с предзаказами, выдача которых оформлялась на закрывающиеся магазины?""",neutral
"""[club15918043 GaGa.ru – настольные игры] В бандл 'Игровой набор' за 15К — по итогу входит книга сценариев? Внизу компании в описании она есть, а на картинке лота ее нет, и более подробного описания лота я не нашел.""",neutral
"""[club15918043 GaGa.ru – настольные игры] Зимой на предзаказе брал лот 'Зверь. Новая волна: геймплейная'. Сейчас такого лота не вижу в списке, подскажите, какому он соответствует из текущих?""",neutral
"""[club15918043 GaGa.ru – настольные игры] Назрело несколько вопросов перед покупкой: 1. Если я брал на прошлом предзаказе 'Зверь. Новая волна: полная' за 32990, то по факту из реально нового только акриловые стенды и набор ширм? 2. Новые ширмы по размерам такие же, как и в базовой коробке? 3. В апгрэйд-пак для владельцев базы 1.0 входит все новое и измененное, кроме мини-поля зверя со стираемым покрытием? 4. 3 набора премиальных органайзеров тоже надо докупать или они входили в 'Зверь. Новая волна: полная' предыдущий? 5. Как правильно оформить заказ на новые компоненты, чтобы их добавили к предыдущему предзаказу?""",neutral
"""[club15918043 GaGa.ru – настольные игры] Назрело несколько вопросов перед покупкой: 1. Если я брал на прошлом предзаказе """"Зверь. Новая волна: полная """" за 32990, то по факту из реально нового только акриловые стенды и набор ширм? 2. Новые ширмы по размерам такие же, как и в базовой коробке? 3. В апгрэйд-пак для владельцев базы 1.0 входит все новое и измененное, кроме мини-поля зверя со стираемым покрытием? 4. 3 набора премиальных органайзеров тоже надо докупать или они входили в """"Зверь. Новая волна: полная"""" предыдущий? 5. Как правильно оформить заказ на новые компоненты, чтобы их добавили к предыдущему предзаказу? (Этой инфы, имхо, очень не хватает на самой странице предзаказа, либо я не увидел)""",neutral
"""[club15918043 GaGa.ru – настольные игры] Оффтоп вопрос по игре 'Красное знамя над Парижем'. Может ли игрок за коммуну потратив ОД разместить кубы из рабочего движения в республиканцах?""",neutral
"""[club15918043 GaGa.ru – настольные игры] С 5 по 8 сентября что нить у вас будет?""",neutral
